Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
21/7/2025,17/7/2025,V-KYSB,WOB05991,C03262 WINDOWSCO ( BRAR TRADING COMPANY PTY LTD TRADING AS,NV | 272-19268 Black Satin (Night Sky),CPO REP YOUSIFF OFFICE,1,1,0,0,0,2.21
18/7/2025,13/6/2025,W-HOPV,WOB04971,C02596 TARCHIUS ANTONEY T/A AUSCO BUILD,W | GY235A ANODIC NATURAL MATT (SILVER LUSTRE),Pack in bundles,27,47,0,0,0,86.98
18/7/2025,19/6/2025,N-ESKP,WOB05121,C00947 KYRIOS GLASS & ALUMINIUM,N | Universal Medium Bronze (T33) - 15um - Non-Bulk ,UNIVERSAL,2,4,0,0,0,8.28
18/7/2025,20/6/2025,N-ESKP,WOB05146,- None -,N | Universal Light Bronze (T37) - 15um - Bulk,UNIVERSAL - STOCK,1,30,0,0,0,19.5
18/7/2025,27/6/2025,N-ESKP,WOB05369,- None -,NV | ANY COLOUR ANY COLOUR,DECO - WESTERN RED CIDAR,1,80,0,0,134.4,0
18/7/2025,3/7/2025,N-ESKP,WOB05546,C01118 EVERCLEAR ASSETS PTY LTD,N | Universal Clear - 20um - Non-Bulk,UNIVERSAL,1,1,0,0,0,.65
18/7/2025,4/7/2025,N-ESKP,WOB05579,- None -,N | Universal Clear - 15um - Bulk,UNIVERSAL - STOCK,1,15,0,0,0,40.17
18/7/2025,4/7/2025,W-HOPV,WOB05585,- None -,W | GL213A ANODIC DARK GREY MATT,**Darley stock** please pack in bundles - Urgent Stock order,1,6,0,0,0,22.63
18/7/2025,4/7/2025,W-HOPV,WOB05589,C02060 BY GOBO  (AUSTRALIA) PTY LTD,W | GD025A MAGNOLIA GLOSS,- None -,7,14,0,0,0,29.31
18/7/2025,4/7/2025,W-HOPV,WOB05591,C01391 CASVER IMPORTS PTY LTD,W | 27219319 BLACK MATT,- None -,5,6,0,22.25,0,0
18/7/2025,4/7/2025,W-HOPV,WOB05600,C01274 BYFORD GLASS AND ALUMINIUM PTY LTD,W | 27283246 SHALE GREY SATIN (GULL GREY),PACK IN BUNDLES,14,22,0,0,0,32.1
18/7/2025,4/7/2025,W-HOPV,WOB05603,C02200 VIEWGUARD PTY LTD,W | GA228A VIVICA SNOW DUST MATT(WHITE LUSTRE),PACK IN BUNDLES,1,3,0,0,0,3.9
18/7/2025,9/7/2025,Q-YTLA,WOB05702,C01240 JACKSON R CAMPBELL TA JRC GLASS SOLUTIONS,Q | Clear Ano - 20um,- None -,1,2,0,0,0,5.17
18/7/2025,10/7/2025,Q-YTLA,WOB05727,C02870 PRECISION DOORS & WINDOWS PTY LTD,Q | 272-81880 Classic Pearl White Gloss,- None -,1,1,0,0,0,2.7
